رزیدنت_ایول	توسعه‌دهنده	کپ‌کام
ژان-ژاک_روسو	زمینهٔ_فعالیت	موسیقی
مرکز_تحقیقات_شیلات_ایران	موقعیت	تهران
جانی_ایزاکسون	پس_از	زل_میلر
شوش	کشور	استان_خوزستان
چولونی_خولان	موضوع	مقاله‌های_ویکی‌پدیا_همراه_شناسه‌های_LCCN
قنات_شمس‌آباد،_درمیان	کشور	ایران
نورث‌همپتون	ناحیه_زمانی_۱	ساعت_تابستانی_بریتانیا
ویس_احمد_برمک	موضوع	یادکردهای_دارای_منبع_به_زبان_انگلیسی
میر_اسدالله_مدنی	مذهب	اسلام
الن_آلین	سبک	الکتروکلش
انتاریو_شمال_باختری	بخشی_از	کانادا
جعفرآباد	روستا	شهرستان_لنجان
مرتضی_محجوبی	محل_تولد	تهران
مهرماه_سلطان	استراحت_place	استانبول
فرودگاه_تک‌بانده_ال_گالیتو	آر1-ظاهر	خاک
آلن	شهروندی	فرانسه
واکاسو	محله‌های	توکیو
یورکک_فیلد	مالک	دانشگاه_راتگرز
فرودگاه_مزن	سطح_باند	بتن
تومویوکی_تاناکا	مرگ_cause	سکته_مغزی
قنات_جرید،_رزن	استان	استان_همدان
انصار_الفرقان	جنگ	شورش_سیستان_و_بلوچستان
شاه_عباس_بزرگ	جانشین	شاه_صفی
زرده	روستا	شهرستان_نائین
کنگری	بخش	استان_کرمان
نوتوس،_آیداهو	نوع	شهر
پانک_راک	مشتق	موج_نوی_هوی_متال_انگلیسی
دارکلا	روستا	شهرستان_آمل
اندیس_رود_شلنگ	محصولات	طلا
عبیدی	موقعیت	تهران
تریسی_کولکینز	شنا_style	شنای_مختلط
قزلجه	توابع	ابهر
ملیحه	نوع	فهرست_پیش‌شماره_تلفنی_کشورها
مولان‌آباد	شهرستان	ایران
شهرک_وحدت	بخش	استان_کردستان
جمشید_مشایخی	ملیت	مردمان_ایرانی‌تبار
ریاست_جمهوری_محمود_احمدی‌نژاد	حزب	جمعیت_ایثارگران_انقلاب_اسلامی
گندم_سیاه	پناهگاه	گیاهان_گلدار
محمد_بسته‌نگار	زمینهٔ_فعالیت	نویسنده
روئینگ_در_بازی‌های_المپیک_تابستانی_1904	رویداد_قبلی	روئینگ_در_بازی‌های_المپیک_تابستانی_1900
او	مکان	کالیفرنیا
پارسیوان	مذهب	اسلام
امبرائر	محصول	هواپیما
روژایه	ناحیه_زمانی_۱	زمان_اروپای_مرکزی
شرکت_ملی_گاز_ایران	محدودهٔ_فعالیت	ایران
اسدالله_علم	محل_مرگ	نیویورک
انیکو_اسنی	موضوع	افراد_زنده
دهستان_آزادگان	روستایی_district	شهرستان_رفسنجان
پوی‌پت	نوع	فهرست_شهرهای_کامبوج
دینامو_زاگرب	سال_تاسیس	1945
یرنس_ای_تامسا	رهبر_party	حزب_مردم
تفریح_تا_سرحد_مرگ	تک‌آهنگ_بعدی	افسانه_1900
رئیس‌جمهور_ایالات_متحده_آمریکا	نبرد	جنگ_کره
خلیفه‌لو	بخش	بخش_کندوان
پاول_یکم	جانشینی	فهرست_شاهان_روسیه
واوکلوس،_ویرجینیا	است_،_part_of	ایالات_متحده_آمریکا
محمد_مصدق	پیش_از	عبدالله_هدایت
سیهات	رهبر_title	فرماندار
موسیقی_اینداستریال	ریشه‌های_سبکی	موسیقی_کانکریت
قارقا	منطقه	شهرستان_سراب
باشگاه_فوتبال_منچستر_یونایتد	تاریخ_آغاز_ساخت	1909
سایمون_کاول	زمینه_فعالیت	تهیه‌کننده
چیستا	ویراستار	پرویز_شهریاری
گاوبازه	روستا	شهرستان_دلفان
سیروان_خسروی	نقش‌های_مرتبط	زانیار_خسروی
دپش_مد	ناشر_موسیقی	میوت_رکوردز
پشت_قلعه	روستا	شهرستان_آبدانان
لحظه‌ای_مانند_این	موسیقی_artist	کلی_کلارکسون
ناهید	انتشارات_کونتری	ایران
دختر_هیمالیا	خانواده	فرچه‌پایان
دانشگاه_کنتاکی	دانشگاه	منطقه_شهری
انیو_موریکونه	پس_از	ماریو_مونیچلی
حسین‌آباد	بخش	شهرستان_بجستان
چک	بازیگر	همایون_ارشادی
آیهان_کاراکاس	واقعه	کشتی_فرنگی
ماریون	شهر	دانلون،_فلوریدا
بتمن_برمی‌گردد	سال_تولید	1992
فریسی‌ها	زبان	زبان_آلمانی
جوسایا_ریدر	موقعیت	دروازه‌بان
باشگاه_بسکتبال_پتروشیمی_بندر_امام_خمینی	لیگ	لیگ_برتر_بسکتبال_ایران
اعزاز	نوع	کد_پستی
اکبر_هاشمی_رفسنجانی	سامیا	Q14442109
سنجدوییه	منطقه	شهرستان_سیرجان
شاپور_یکم	مرگ_place	بیشاپور
بیلی_فلتون	محل_مرگ	منچستر
ای‌پاب	تمدید_شده_from	شیوه‌نامه_آبشاری
جاناتان_مرغ_دریایی	ادبی_genre	معنویت
احمد_اشرف	رشته‌ی_تحصیلی	تاریخ
شراره	کشور	تاجیکستان
فهرست_برندگان_جایزه_نوبل	برچسب	فهرست_برندگان_جایزه_نوبل
ارتش_اسرائیل	پیشینه	جنگ_شش‌روزه
وضاح_خنفر	مذهب	اسلام
نیوکاسل	تاریخ_بنیانگذاری	سده_2
خط_5_متروی_تهران	محل	استان_تهران
برونو_لاتور	محل_کار	مدرسه_اقتصاد_لندن
سید_رضا	تاریخ_تولد	1863
بی‌ام‌سی_ای‌دی‌او17	سلف	آستین_کمبریج
قنات_میان‌رود_سفیدسنگ،_زاهدان	استان	استان_سیستان_و_بلوچستان
دیوید_کیج	محل_تولد	فرانسه
پادشاهی_هوشنگ	پدیدآورنده	فردوسی
مریم‌آباد	توابع	ابرکوه
حزب_سبز_ایران	وابستگی_ملی	جبهه_ایستادگی_ایران_اسلامی
زبان_کنوجی	فیلمنامه	دیواناگری
تو_تنها_نیستی	اثر_قبلی	قهرمان
حیدر_اسکندرپور	موضوع	مقاله‌های_نامزد_حذف
موصل	منطقهٔ_زمانی	00+
باشگاه_فوتبال_سپاهان_در_فصل_88–1387	استادیوم	ورزشگاه_نقش_جهان
واسیلی_زایتسف	محل_مرگ	اتحاد_جماهیر_شوروی_سوسیالیستی
ابوسعید_گورکان	سلف	ابراهیم_میرزا
لهجه_کازرونی	خانوادهcolor	زبان‌های_هندواروپایی
ماری_کوری	دانشگاهی_discipline	فیزیک
محمود_فروغی	بوهاlma_mater	دانشگاه_تهران
بیورتون،_اورگن	سال_نامگذاری	شرکت_شهردار
گروه	منطقه	شهرستان_کرمان
از_درون	آلبوم	متئورا
وست_امانا،_آیووا	منطقهٔ_زمانی	منطقه_زمانی_مرکزی
هرهر	رودخانه_mouth	آرپا
کاروانسرای_لشتانی	موقعیت	هرمزگان
امبینت_هاوس	ریشه‌های_سبکی	موسیقی_امبینت
قنات_میرزامحمد،_درمیان	استان	استان_خراسان_جنوبی
مارک_توین	معروف_به	ماجراهای_هاکلبری_فین
آفریقا	شهر	آدیس_آبابا
قنات_بند،_سراوان	استان	استان_سیستان_و_بلوچستان
چیزهای_عجیب	شبکه	نتفلیکس
آنری_ورنوی	جایزه‌ها	جایزه_اسکار
قلعه‌کندی	دهستان	آبش‌احمد
باشبلاغ	بخش	بخش_زیویه
ینیجه	استان	آنکارا
دولت‌آباد	شهرستان	قم
سایلنت_هیل_2	سکوی_رایانش	پلی‌استیشن_3
هری_رابرتس	باشگاه	باشگاه_فوتبال_لینکولن_سیتی
بروس_ویلیس	کودک	رومر_ویلیس
بیل_اینگلیش	عنوان_احترامی	بسیار_محترم
امریکن_آیدل	داوران	پائولا_عبدل
کوهنورد	سبک	بازی_ماجراجویی
دانشگاه_وایومینگ	حالت	وایومینگ
زیمنیچه	رهبر_title	شهردار
نیکی_کریمی	شغل	کارگردان_فیلم
ویلیام_هیولیت	محصول_تولید	دستگاه_تنظیم_ضربان_قلب
یوسف_تیموری	ملیت	مردمان_ایرانی
جمهوری_دومینیکن	واحد_پول	پزو
فرودگاه_غربی_زیریانکا	آر1-ظاهر	بتن
گویش_عبدویی	سد	زبان‌های_کردی
حسنارود	منطقه	بخش_نیاسر
شریل_اسووپس	لیگ	اتحادیه_ملی_بسکتبال_زنان
جنگ_آمریکا_و_مکزیک	نتیجه	معاهده_گوادالوپه_ایدالگو
مهدی_قاسمی	ساز	ویولن
فیبا_یوروبسکت	قاره	فیبا_اروپا
شهرستان_رودسر	شهرستان_seat	رودسر
قنبری	توابع	شهرستان_سروستان
حسین_مکی	از_رویty	حزب_ایران
ثور	توانایی‌ها	دورنوردی
با_من_صحبت_کن	آهنگ‌ساز	نیک_میسن
ترگو_لپو	عنوان_حاکم	شهردار
ایلیا_پائولوویچ_پطروشفسکی	آثار	اسلام_در_ایران
ایگل_پوینت،_اورگن	است_،_part_of	ایالات_متحده_آمریکا
بوئینگ_بی-17_فلایینگ_فورترس	توسعه_یافته_به	بوئینگ_307
طوفان	کشورهای_اصلی_بکارگیرنده	نشان_شناسایی
تموغه	شهرستان	ایران
سان_استبان_د_ساپاردیل	منطقهٔ_زمانی	زمان_اروپای_مرکزی
شرکت_برق_منطقه‌ای_تهران	موقعیت	تهران
منوچهر_وثوق	تاریخ_تولد	1322
لانگویو،_تگزاس	نوع	شهر
یوهان_گوتلیب_فیشته	درfluenced	نووالیس
گوستاو_لارسون	موضوع	صفحه‌های_دارای_آرگومان_تکراری_در_فراخوانی_الگو
همتعلی_سالم	ابزار	کمانچه
سمندر	رده	دوزیستان
کمانچه	مورد_مرتبط	رباب
تگزاس_رنجرز	سال_تاسیس	آمریکا
دیمیتریس_خریستوفیاس	بوهاlma_mater	آکادمی_علوم_روسیه
میومیر_ژوژول	ماتر	دانشگاه_زاگرب
سالومه_ام‌سی	شغل	آهنگساز
امتیاز	آهنگساز_موسیقی_فیلم	هاوارد_شور
شیدی_رکوردز	مستقر_by	پال_روزنبرگ
مجمع‌الجزایر_چاگوس	کشور	بریتانیا
جزیره_اسرارآمیز	بازیگر	جاش_هاچرسون
هنری_راولینسون	افتخار	همکار_انجمن_سلطنتی
فرودگاه_شهری_شهر_اورنج	سطح_باند	بتن
رد_وینگ،_مینه‌سوتا	منطقهٔ_زمانی	منطقه_زمانی_مرکزی
قنات_دونخی،_درمیان	شهرستان	شهرستان_درمیان
فرمان	هواپیما_trainer	هورکوش_تی‌ای‌آی
متیو_لیباتیک	اهل	ایالات_متحده_آمریکا
وایت_استرایپس	ثبت_label	xL
سپاه_محمد_رسول_الله_تهران_بزرگ	کشور	پرچم
کریستینا_زاخفاتوویچ	موضوع	مقاله‌ها_با_اچ‌کاردها
تحفه‌ها	بازیگر	سیروس_ابراهیم‌زاده
سرزمین_استاوروپول	نوع	فهرست_شهرهای_روسیه
یادگار_عزیزی	موضوع	معماری
محمد	همسر	همسران_و_فرزندان_محمد
دوری_صربسکه	دفتر_مرکزی	بلگراد
گیتار_رزونانسی	مربوط	گیتار_الکتریک
کینگ_کونگ	موسیقی_composer	جان_بری
حسن_انوری	رشته‌ی_تحصیلی	زبان‌شناسی
لیگ_برتر_فوتبال_ارمنستان_1999	فصل_قبل	لیگ_برتر_فوتبال_ارمنستان_1998
دره_ترکمن	لقب	اقوام_افغانستان
گینه_نو	کشور	پاپوآ_گینه_نو
سید_حسن_حسینی	محل_تولد	بامیان
موج_نوی_فرانسه	درfluences	رئالیسم_شاعرانه
EEA	مکان	نیوآرک،_نیوجرسی
امپراتوری_نخست_بلغارستان	نوع_حکومت	پادشاهی_مطلقه
هاینریش_شلیمان	تأثیرگذار_بر	آرتور_ایوانز
لیورپول	سال_تاسیس	1892
نیکلای_دوم_روسیه	فرزندان	الکسی_نیکولایویچ
کشتار_با_اره‌برقی_در_تگزاس	موسیقی_composer	استیو_جابلونسکی
کنفدراسیون_فوتبال_آفریقا	دفتر_مرکزی	ششم_اکتبر
اندیس_خانقاه2	محصولات	سنگ_آهک
نورمن_راس	محل_تولد	پورتلند،_اورگن
ام‌تی‌وی	خواهر_station	نیکلودئون
اندیس_آنومالی_کوه_نرمه	محصولات	طلا
موریل_ملون	محل_تولد	سن_دیگو
جنون_سرعت	سیستم‌ها	نینتندو_گیم‌کیوب
کهناب	منطقه	شهرستان_لالی
امپراتوری_روسیه	مذهب	منونایت
ریشارد_گلوکس	زایمان_date	1889
شهرستان_گمیشان	از_رویt	بخش_گلدشت
انجمن_تنیس_حرفه‌ای	محل	فلوریدا
پیدراهیتا	ناحیه_زمانی_۱	زمان_اروپای_مرکزی
آفریقاددان	پناهگاه	طنابداران
ساموئل_جانسون	زمینهٔ_فعالیت	شاعر
خواجه_علی_سیاهپوش	پدر	شیخ_صدرالدین_موسی
لویی_اشپور	ملیت	آلمانی‌ها
به_دادم_برس_رفیق	بازیگر	حسین_گیل
ولیان	منطقه	شهرستان_بروجرد
پوهانگ_استیلرز	موسس_باشگاه	شرکت_پوهانگ_استیل
احمد_المیرغنی	محل_مرگ	مصر
محمد_بسته‌نگار	موضوع	نویسنده
احمد_خانی	شغل	نویسنده
لاهیجان	منطقهٔ_زمانی	ساعت_رسمی_ایران
پتروم	دفتر_مرکزی	بخارست
جمهوری_دمکراتیک_آلمان	جفovernment_type	نظام_تک‌حزبی
افشین_هاشمی	زمینه_فعالیت	کارگردان_فیلم
در	جفarrison	تمپا،_فلوریدا
عبدالله_بن_عبدالعزیز	مذهب	اسلام
روئینگ_در_بازی‌های_المپیک_تابستانی_1912	قبلی	روئینگ_در_بازی‌های_المپیک_تابستانی_1908
ساموئل_چائو_چونگ_تینگ	دانشگاهی_discipline	فیزیک
بندپایان	شاخه	دوسوئیان
الکترونیکا	سبک_گرا_origin	موسیقی_رقص_الکترونیک
گارگویلیوسور	طبقه	خزندگان
ایالات_متحده_آمریکا	عنوان_حاکم	رئیس_مجلس_نمایندگان_ایالات_متحده_آمریکا
مرکز_تحقیقات_فناوری_اطلاعات_دانشگاه_تهران	موقعیت	تهران
لیلا_فروهر	شغل	خواننده
خلیج_سان‌فرانسیسکو	رودخانه	رود_سن‌واکین
سعید_شهرام	زاده	اصفهان
تئوری_بیگ_بنگ	سازنده_(agent)	چاک_لوری
مایکل_سندل	تأثیرگرفته_از	چارلز_تیلور
نورواک،_کالیفرنیا	بخشی_از	ایالات_متحده_آمریکا
ایوب_حسین‌نژادی	نظامی_rank	سرتیپ_دوم
مویو	کشور	تانزانیا
راه_سبز_امید	وابستگی_ملی	جنبش_سبز_ایران
هیوتر،_آیداهو	جمعیت_as_of	سرشماری_2010_ایالات_متحده_آمریکا
فرودگاه_ایالتی_الکلای_لیک	آر1-ظاهر	شن
قره‌تپه	توابع	سنقر
Rot-Weiss_Köln	موسس_باشگاه	باشگاه_ورزشی_کلن
عدل‌آباد	روستا	فیروزآباد
استخروییه	بخش	شهرستان_کرمان
منوچهر_پسر_قابوس	دین	سنی
تئو_جیمز	محل_تولد	آکسفورد
بانک_بازرگانی_ایران	محل	تهران
آلچفسک	نوع	کد_پستی
علی_رشیدی	زمینهٔ_فعالیت	جبهه_ملی_ایران
علینقی_عالیخانی	شغل	اقتصاددان
میپل_گروو،_مینه‌سوتا	نوع	شهر
انقلاب_میخک	روشs	کودتا
آفتاب‌پرست_نازنین	پدیدآور	محمدرضا_کاتب
گلون	شهرستان	ایران
مارسل_پروست	تأثیرگذار_بر	آیریس_مرداک
ننانا،_آلاسکا	رهبر_title	شهردار
تیکانلو	توابع	زیویه
جراحی	منطقه	روداب
ساعت_شلوغی_3	بازیگران	هنری_او
قنات_سوزن،_نایین	شهرستان	شهرستان_نائین
اندیس_دولومیت_خدرآباد	نحوه_تشکیل	دولومیت
شفیع‌آباد	منطقه	شهرستان_قزوین
جوزف_لارمر	محل_مرگ	شهرستان_داون
سید_ابوالقاسم_خویی	شاگرد	حسین_وحید_خراسانی
رع	گونه	پراگرسیو_راک
هارون	رهبر_title	شهردار
ایالات_متحده_آمریکا	رهبر_name	دونالد_ترامپ
دوری_صربسکه	عبادت	شکاکیت_به_اروپا
شیدور	کشور	ایران
هسن	حزب_حاکم_2	حزب_دموکرات_آزاد_آلمان
جزایر_اوکیناوا	مکان	اقیانوس_آرام
شریل_سندبرگ	محل_تحصیل	روزنامه
پایگاه_هوایی_علی	شهر	ناصریه
لس‌آنجلس_لیکرز	سال_تاسیس	آمریکا
تخت_جمشید	موقعیت	مرودشت
